calculate the throughput for one broker with different p values from 1 to 15
brokers: ,3,    p: ,"{'p1': 1, 'p2': 2, 'p3': 1}",|   ,75488.3,messages/sec
brokers: ,3,    p: ,"{'p1': 1, 'p2': 1, 'p3': 3}",|   ,79650.7,messages/sec
brokers: ,3,    p: ,"{'p1': 2, 'p2': 3, 'p3': 2}",|   ,95815.6,messages/sec
brokers: ,3,    p: ,"{'p1': 1, 'p2': 2, 'p3': 3}",|   ,87733.1,messages/sec
brokers: ,4,    p: ,"{'p1': 3, 'p2': 3, 'p3': 3, 'p4': 2}",|   ,134691.4,messages/sec
brokers: ,4,    p: ,"{'p1': 1, 'p2': 4, 'p3': 2, 'p4': 4}",|   ,127521.8,messages/sec
brokers: ,4,    p: ,"{'p1': 3, 'p2': 1, 'p3': 3, 'p4': 2}",|   ,122446.6,messages/sec
brokers: ,4,    p: ,"{'p1': 1, 'p2': 4, 'p3': 3, 'p4': 2}",|   ,124984.2,messages/sec
brokers: ,4,    p: ,"{'p1': 2, 'p2': 4, 'p3': 1, 'p4': 1}",|   ,112739.4,messages/sec
brokers: ,4,    p: ,"{'p1': 1, 'p2': 2, 'p3': 2, 'p4': 2}",|   ,114121.8,messages/sec
brokers: ,4,    p: ,"{'p1': 3, 'p2': 4, 'p3': 1, 'p4': 1}",|   ,116901.7,messages/sec
brokers: ,4,    p: ,"{'p1': 2, 'p2': 1, 'p3': 1, 'p4': 3}",|   ,110201.7,messages/sec
brokers: ,4,    p: ,"{'p1': 2, 'p2': 3, 'p3': 1, 'p4': 1}",|   ,110201.7,messages/sec
brokers: ,4,    p: ,"{'p1': 4, 'p2': 1, 'p3': 2, 'p4': 1}",|   ,112739.4,messages/sec
brokers: ,4,    p: ,"{'p1': 4, 'p2': 1, 'p3': 1, 'p4': 3}",|   ,116901.7,messages/sec
brokers: ,4,    p: ,"{'p1': 4, 'p2': 4, 'p3': 2, 'p4': 4}",|   ,142304.2,messages/sec
brokers: ,4,    p: ,"{'p1': 4, 'p2': 2, 'p3': 3, 'p4': 2}",|   ,133066.6,messages/sec
brokers: ,4,    p: ,"{'p1': 3, 'p2': 4, 'p3': 1, 'p4': 1}",|   ,116901.7,messages/sec
brokers: ,4,    p: ,"{'p1': 2, 'p2': 2, 'p3': 4, 'p4': 2}",|   ,128904.2,messages/sec
brokers: ,5,    p: ,"{'p1': 3, 'p2': 5, 'p3': 5, 'p4': 2, 'p5': 5}",|   ,182144.1,messages/sec
brokers: ,5,    p: ,"{'p1': 3, 'p2': 5, 'p3': 4, 'p4': 4, 'p5': 5}",|   ,187135.3,messages/sec
